date,account_value
2021-10-18 08:00:00,10000.0
2021-10-19 08:00:00,10166.696465726869
2021-10-20 08:00:00,10295.333279799403
2021-10-21 08:00:00,10886.205925364126
2021-10-22 08:00:00,10940.039842926048
2021-10-23 08:00:00,10735.680839752189
2021-10-24 08:00:00,10533.37106908688
2021-10-25 08:00:00,10917.528258082411
2021-10-26 08:00:00,10987.994899504485
2021-10-27 08:00:00,10353.231783912568
2021-10-28 08:00:00,10737.386515512444
2021-10-29 08:00:00,10961.463402326955
2021-10-30 08:00:00,11109.83057592182
2021-10-31 08:00:00,10848.177253208389
2021-11-01 08:00:00,11206.857903399243
2021-11-02 08:00:00,11374.131773130468
2021-11-03 08:00:00,11776.689812147682
2021-11-04 08:00:00,11730.844655151663
2021-11-05 08:00:00,11884.23712584359
2021-11-06 08:00:00,11792.025661316287
2021-11-07 08:00:00,12337.65775708795
2021-11-08 08:00:00,12501.135752237515
2021-11-09 08:00:00,12619.783800798175
2021-11-10 08:00:00,12541.993819803121
2021-11-11 08:00:00,12380.006616085226
2021-11-12 08:00:00,12047.541078550455
2021-11-13 08:00:00,12124.565960721759
2021-11-14 08:00:00,12294.68965822761
2021-11-15 08:00:00,12491.632146544289
2021-11-16 08:00:00,11565.052848811138
2021-11-17 08:00:00,11502.96200674333
2021-11-18 08:00:00,11215.166358591301
2021-11-19 08:00:00,11015.546757371778
2021-11-20 08:00:00,11438.872702920557
2021-11-21 08:00:00,11380.499384033095
2021-11-22 08:00:00,11379.360650854785
2021-11-23 08:00:00,11386.193049924648
2021-11-24 08:00:00,11383.915583568029
2021-11-25 08:00:00,11380.499384033097
2021-11-26 08:00:00,11379.360650854787
2021-11-27 08:00:00,11380.499384033097
2021-11-28 08:00:00,11379.360650854787
2021-11-29 08:00:00,11377.083184498166
2021-11-30 08:00:00,11378.221917676477
2021-12-01 08:00:00,11375.944451319858
2021-12-02 08:00:00,11378.221917676477
2021-12-03 08:00:00,11377.083184498168
2021-12-04 08:00:00,11369.112052249995
2021-12-05 08:00:00,11370.250785428307
2021-12-06 08:00:00,11375.944451319856
2021-12-07 08:00:00,11374.805718141546
2021-12-08 08:00:00,11377.083184498166
2021-12-09 08:00:00,11377.083184498166
2021-12-10 08:00:00,11382.776850389719
2021-12-11 08:00:00,11381.638117211409
2021-12-12 08:00:00,11381.638117211409
2021-12-13 08:00:00,11381.638117211409
2021-12-14 08:00:00,11383.915583568029
2021-12-15 08:00:00,11383.915583568029
2021-12-16 08:00:00,11382.776850389719
2021-12-17 08:00:00,11383.91558356803
2021-12-18 08:00:00,11383.91558356803
2021-12-19 08:00:00,11381.638117211409
2021-12-20 08:00:00,11385.054316746338
2021-12-21 08:00:00,11385.054316746338
2021-12-22 08:00:00,11382.776850389719
2021-12-23 08:00:00,11382.776850389719
2021-12-24 08:00:00,11382.776850389719
2021-12-25 08:00:00,11381.638117211409
2021-12-26 08:00:00,11382.77685038972
2021-12-27 08:00:00,11381.63811721141
2021-12-28 08:00:00,11383.91558356803
2021-12-29 08:00:00,11385.05431674634
2021-12-30 08:00:00,11386.193049924652
2021-12-31 08:00:00,11385.054316746342
2022-01-01 08:00:00,11386.193049924654
2022-01-02 08:00:00,11386.193049924654
2022-01-03 08:00:00,11387.331783102964
2022-01-04 08:00:00,11386.193049924654
2022-01-05 08:00:00,11388.470516281275
2022-01-06 08:00:00,11389.609249459585
2022-01-07 08:00:00,11391.886715816205
2022-01-08 08:00:00,11387.331783102964
2022-01-09 08:00:00,11387.331783102964
2022-01-10 08:00:00,11386.193049924654
2022-01-11 08:00:00,11387.331783102964
2022-01-12 08:00:00,11385.054316746344
2022-01-13 08:00:00,11382.776850389724
2022-01-14 08:00:00,11383.915583568036
2022-01-15 08:00:00,11383.915583568036
2022-01-16 08:00:00,11383.915583568036
2022-01-17 08:00:00,11383.915583568036
2022-01-18 08:00:00,11385.054316746346
2022-01-19 08:00:00,11383.915583568036
2022-01-20 08:00:00,11385.054316746346
2022-01-21 08:00:00,11386.193049924657
2022-01-22 08:00:00,11385.054316746347
2022-01-23 08:00:00,11386.19304992466
2022-01-24 08:00:00,11385.05431674635
2022-01-25 08:00:00,11382.77685038973
2022-01-26 08:00:00,11383.915583568041
2022-01-27 08:00:00,11382.776850389731
2022-01-28 08:00:00,11386.193049924663
2022-01-29 08:00:00,11385.054316746353
2022-01-30 08:00:00,11383.915583568043
2022-01-31 08:00:00,11382.776850389733
2022-02-01 08:00:00,11382.776850389733
2022-02-02 08:00:00,11381.638117211423
2022-02-03 08:00:00,11385.054316746353
2022-02-04 08:00:00,11381.638117211423
2022-02-05 08:00:00,11380.499384033112
2022-02-06 08:00:00,11380.499384033112
2022-02-07 08:00:00,11380.499384033112
2022-02-08 08:00:00,11378.221917676492
2022-02-09 08:00:00,11378.221917676492
2022-02-10 08:00:00,11378.221917676492
2022-02-11 08:00:00,11379.360650854802
2022-02-12 08:00:00,11380.499384033112
2022-02-13 08:00:00,11380.499384033112
2022-02-14 08:00:00,11199.506464571297
2022-02-15 08:00:00,11927.164499183644
2022-02-16 08:00:00,11982.445793400158
2022-02-17 08:00:00,11743.663689863386
2022-02-18 08:00:00,11138.769413345852
2022-02-19 08:00:00,10827.439828853192
2022-02-20 08:00:00,10557.063877626699
2022-02-21 08:00:00,10556.007643121682
2022-02-22 08:00:00,10557.063877626699
2022-02-23 08:00:00,10558.120112131715
2022-02-24 08:00:00,10559.176346636732
2022-02-25 08:00:00,10558.120112131717
2022-02-26 08:00:00,10558.120112131717
2022-02-27 08:00:00,10557.063877626702
2022-02-28 08:00:00,10557.063877626702
2022-03-01 08:00:00,10559.176346636732
2022-03-02 08:00:00,10557.0638776267
2022-03-03 08:00:00,10558.120112131717
2022-03-04 08:00:00,10560.232581141747
2022-03-05 08:00:00,10560.232581141747
2022-03-06 08:00:00,10560.232581141747
2022-03-07 08:00:00,10402.025027778229
2022-03-08 08:00:00,10573.211434077857
2022-03-09 08:00:00,11092.786263853193
2022-03-10 08:00:00,10502.037006459155
2022-03-11 08:00:00,10653.877414184799
2022-03-12 08:00:00,10467.149338235346
2022-03-13 08:00:00,10411.44711270998
2022-03-14 08:00:00,10411.67800695603
2022-03-15 08:00:00,10310.261395225976
2022-03-16 08:00:00,10756.430957933615
2022-03-17 08:00:00,10980.431321570886
2022-03-18 08:00:00,10932.865229174073
2022-03-19 08:00:00,11385.026205284992
2022-03-20 08:00:00,11250.927086777469
